1,clk_drv:0x00 ,q_drv:0x00 ,d_drv:0x00 ,cs0_drv:0x00 ,hd_drv:0x00 ,wp_drv:0x00,0,0,0
292,1.631 ,1.262 ,11.543 ,-0.000 ,-0.001 ,-0.001,0,0,0
293,1.625 ,1.285 ,11.567 ,0.000 ,-0.000 ,-0.000,0,0,0
294,1.650 ,1.276 ,11.547 ,0.001 ,0.000 ,0.000,0,0,0
295,1.657 ,1.279 ,11.574 ,0.001 ,0.001 ,0.000,0,0,0
296,1.648 ,1.279 ,11.569 ,0.000 ,-0.001 ,-0.002,0,0,0
297,1.645 ,1.275 ,11.555 ,0.000 ,-0.001 ,0.000,0,0,0
298,1.657 ,1.282 ,11.589 ,0.000 ,0.001 ,-0.000,0,0,0
299,1.638 ,1.255 ,11.501 ,-0.000 ,-0.000 ,0.001,0,0,0
300,1.662 ,1.300 ,11.562 ,0.001 ,-0.001 ,0.001,0,0,0
301,1.635 ,1.280 ,11.556 ,0.000 ,-0.000 ,-0.000,0,0,0
302,1.624 ,1.269 ,11.532 ,-0.001 ,-0.000 ,-0.001,0,0,0
303,1.644 ,1.287 ,11.582 ,0.000 ,-0.001 ,-0.000,0,0,0
304,1.637 ,1.281 ,11.533 ,0.000 ,0.000 ,0.000,0,0,0
305,1.632 ,1.256 ,11.526 ,0.000 ,-0.001 ,0.001,0,0,0
306,1.632 ,1.270 ,11.559 ,-0.000 ,0.001 ,0.000,0,0,0
307,1.653 ,1.297 ,11.568 ,-0.000 ,-0.001 ,0.000,0,0,0
308,1.654 ,1.281 ,11.530 ,-0.001 ,0.001 ,-0.001,0,0,0
309,1.635 ,1.270 ,11.565 ,0.000 ,-0.001 ,-0.000,0,0,0
310,1.652 ,1.280 ,11.543 ,-0.001 ,0.001 ,-0.001,0,0,0
311,1.645 ,1.273 ,11.570 ,0.001 ,-0.001 ,0.000,0,0,0
312,1.636 ,1.283 ,11.533 ,-0.000 ,-0.000 ,-0.001,0,0,0
313,1.645 ,1.286 ,11.580 ,-0.000 ,-0.000 ,-0.000,0,0,0
314,1.656 ,1.271 ,11.504 ,0.000 ,0.000 ,0.001,0,0,0
